cond,d_star_common,d_star_090_common,d_star_099_common,f4_common,coverage_entropy,coverage_std
HYB-s8-b100-a0.50,17.0,4.0,17.0,0.9045212760604364,0.6504878189505643,0.21807849672848734
HYB-s8-b100-a0.75,17.0,3.0,17.0,0.9121381911984563,0.6345767710437267,0.22791964901295236
RL-s8-b100-a1.00,7.0,3.0,17.0,0.9064698089575748,0.6446321447965594,0.23029399944954784
HYB-s9-b100-a0.25,5.0,2.0,17.0,0.9448119866644523,0.6978440021259098,0.2398201523261493
HYB-s9-b100-a0.50,17.0,2.0,17.0,0.9306837979508154,0.6903742711173118,0.2319288839210859
HYB-s9-b100-a0.75,17.0,1.0,17.0,0.9417268482015366,0.6556607695882458,0.24333166565194464
RL-s9-b100-a1.00,4.0,1.0,17.0,0.9586932860205051,0.6292871980696138,0.23226341722345212
HYB-s10-b100-a0.25,6.0,3.0,17.0,0.9397738336224363,0.6884570600109579,0.23046592841705932
HYB-s10-b100-a0.50,17.0,5.0,17.0,0.8998674341693301,0.6733461693923602,0.23398418113204605
HYB-s10-b100-a0.75,17.0,5.0,17.0,0.8972592984476019,0.6837649505509114,0.24811351448033783
RL-s10-b100-a1.00,17.0,7.0,17.0,0.8658247246266615,0.7045646724407986,0.2575789645918951
HYB-s11-b100-a0.25,17.0,4.0,17.0,0.9213428639864993,0.6813542910794806,0.22829407296262602
HYB-s11-b100-a0.50,17.0,5.0,17.0,0.8767759065194911,0.6759532487267771,0.22991598183368803
HYB-s11-b100-a0.75,17.0,8.0,17.0,0.8878884322484916,0.702536081353019,0.2540587773601514
RL-s11-b100-a1.00,17.0,6.0,17.0,0.8918182571077324,0.6933578049535416,0.2500453554642803
HYB-s12-b100-a0.25,6.0,2.0,17.0,0.9385263575905337,0.6839097355351481,0.22617444968076453
HYB-s12-b100-a0.50,9.0,4.0,17.0,0.9217880338663991,0.6824443694597162,0.23191039300833993
HYB-s12-b100-a0.75,17.0,2.0,17.0,0.9292606932875739,0.645786451661855,0.22514313870408836
RL-s12-b100-a1.00,6.0,3.0,17.0,0.9283532884507156,0.6348282430120828,0.2241534946167541
HYB-s13-b100-a0.25,5.0,3.0,17.0,0.9353012124781137,0.661112733437001,0.21825357130212597
HYB-s13-b100-a0.50,17.0,4.0,17.0,0.9167314933070017,0.6500148662158431,0.21816801307502062
HYB-s13-b100-a0.75,17.0,5.0,17.0,0.8950215693772309,0.6516455887976274,0.22527464434183891
RL-s13-b100-a1.00,17.0,6.0,17.0,0.8795046851532521,0.6683805195645498,0.23426557387389335
HYB-s14-b100-a0.25,5.0,4.0,17.0,0.9258588874295398,0.7002812938554589,0.23544740447660328
HYB-s14-b100-a0.50,17.0,5.0,17.0,0.8977085828977165,0.6895367182328644,0.23230082000707916
HYB-s14-b100-a0.75,17.0,7.0,17.0,0.8676785916490685,0.6933553075972739,0.2293150561929816
RL-s14-b100-a1.00,17.0,7.0,17.0,0.8389040162329208,0.697214422054259,0.24315024072072902
HYB-s15-b100-a0.25,5.0,2.0,17.0,0.9405414427025515,0.6944467965261926,0.2353418616263851
HYB-s15-b100-a0.50,17.0,4.0,17.0,0.9255566517301401,0.6838103476802491,0.2286176541967528
HYB-s15-b100-a0.75,6.0,2.0,17.0,0.930753835009431,0.6922019463939565,0.2368904409373312
RL-s15-b100-a1.00,6.0,2.0,17.0,0.9337080099871927,0.7167745292577193,0.25450175302689093
HYB-s16-b100-a0.25,5.0,3.0,17.0,0.9396575520083,0.6800951568082476,0.22577527696953875
HYB-s16-b100-a0.50,17.0,4.0,17.0,0.9025096391679177,0.6438315413694706,0.227640144207703
HYB-s16-b100-a0.75,17.0,7.0,17.0,0.8612281837789303,0.6698293484447709,0.2430478784177333
RL-s16-b100-a1.00,17.0,9.0,17.0,0.817627589249074,0.6796884801030166,0.2472978640407384
HYB-s17-b100-a0.25,6.0,4.0,17.0,0.928652465317265,0.679279994352131,0.2273900005070977
HYB-s17-b100-a0.50,17.0,4.0,17.0,0.9126400817588731,0.6722399345699998,0.23065110511587641
HYB-s17-b100-a0.75,17.0,5.0,17.0,0.8959792397285641,0.6717031918383441,0.24079035263024803
RL-s17-b100-a1.00,17.0,6.0,17.0,0.870066029287387,0.6784611339039526,0.24627039932975517
HYB-s18-b100-a0.25,5.0,2.0,17.0,0.9384740693618966,0.6715467675582778,0.235968357645488
HYB-s18-b100-a0.50,17.0,4.0,17.0,0.9081531118655067,0.7059593694718028,0.24671966472088966
HYB-s18-b100-a0.75,17.0,4.0,17.0,0.9058955331515322,0.692061714275341,0.2491804858755222
RL-s18-b100-a1.00,17.0,5.0,17.0,0.8951826467836339,0.6998383611740908,0.25303566931295335
